USD,2024-05-21,27.5,28.0
EUR,2024-05-21,32.0,32.5
UAH,2024-05-21,1.0,1.0
GBP,2024-05-21,38.0,38.5
JPY,2024-05-21,0.25,0.26
CHF,2024-05-21,30.0,30.5
AUD,2024-05-21,20.5,21.0
CAD,2024-05-21,21.0,21.5
USD,2024-05-20,27.4,27.9
EUR,2024-05-20,31.8,32.3
UAH,2024-05-20,1.0,1.0
GBP,2024-05-20,37.8,38.3
JPY,2024-05-20,0.24,0.25
CHF,2024-05-20,29.8,30.3
AUD,2024-05-20,20.4,20.9
CAD,2024-05-20,20.9,21.4
USD,2024-05-19,27.3,27.8
EUR,2024-05-19,31.6,32.1
UAH,2024-05-19,1.0,1.0
GBP,2024-05-19,37.5,38.0
JPY,2024-05-19,0.23,0.24
CHF,2024-05-19,29.6,30.1
AUD,2024-05-19,20.3,20.8
CAD,2024-05-19,20.8,21.3
USD,2024-05-18,27.2,27.7
EUR,2024-05-18,31.4,31.9
UAH,2024-05-18,1.0,1.0
GBP,2024-05-18,37.2,37.7
JPY,2024-05-18,0.22,0.23
CHF,2024-05-18,29.4,29.9
AUD,2024-05-18,20.2,20.7
CAD,2024-05-18,20.7,21.2
USD,2024-05-17,27.1,27.6
EUR,2024-05-17,31.2,31.7
UAH,2024-05-17,1.0,1.0
GBP,2024-05-17,37.0,37.5
JPY,2024-05-17,0.21,0.22
CHF,2024-05-17,29.2,29.7
AUD,2024-05-17,20.1,20.6
CAD,2024-05-17,20.6,21.1
USD,2024-05-16,27.0,27.5
EUR,2024-05-16,31.0,31.5
UAH,2024-05-16,1.0,1.0
GBP,2024-05-16,36.8,37.3
JPY,2024-05-16,0.20,0.21
CHF,2024-05-16,29.0,29.5
AUD,2024-05-16,20.0,20.5
CAD,2024-05-16,20.5,21.0
